#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Tue Feb 15 08:44:35 EST 2022,0,0,A2ConfigurationProvided, , ,A2ConfigurationProvided+ ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads MultiThreadTokenCountResult PartitionerClass PartitionerFactory PartitionerObject StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountJoiner TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,0,0,false, , , ,A2ConfigurationProvided-(0.0/10.0) , ,
1,Tue Feb 15 08:44:38 EST 2022,0,0,PartitionerClassFactoryAndObject, , ,A2ConfigurationProvided PartitionerClass+ PartitionerFactory+ PartitionerObject+ ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads MultiThreadTokenCountResult StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountJoiner TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,0,1,true,PartitionerClass PartitionerFactory PartitionerObject , , ,PartitionerClass-(0.0/5.0) PartitionerFactory-(0.0/10.0) PartitionerObject-(0.0/10.0) , ,
2,Tue Feb 15 08:44:45 EST 2022,2,2,MultiThreadTokenCounts,MultiThreadTokenCountResult+ , ,A2ConfigurationProvided PartitionerClass PartitionerFactory PartitionerObject TokenCountBoundedBuffer+ TokenCountBulkPartialReduce+ TokenCountMultiplePartialReduce+ TokenCountMultipleRoundSynchronization+ TokenCountThreads+ ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountJoiner ,0,2,true,MultiThreadTokenCountResult TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads , , ,MultiThreadTokenCountResult-(10.0/10.0) TokenCountBoundedBuffer-(0.0/10.0) TokenCountBulkPartialReduce-(0.0/10.0) TokenCountMultiplePartialReduce-(0.0/10.0) TokenCountMultipleRoundSynchronization-(0.0/10.0) TokenCountThreads-(0.0/10.0) , ,
3,Tue Feb 15 08:44:45 EST 2022,2,0,BarrierJoinSynchronizationClassAndObject,MultiThreadTokenCountResult , ,A2ConfigurationProvided Barrier+ BarrierClass+ EarlyJoin+ JoinerClass+ LateJoin+ PartitionerClass PartitionerFactory PartitionerObject TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountJoiner ,0,3,true,Barrier BarrierClass EarlyJoin JoinerClass LateJoin , , ,Barrier-(0.0/40.0) BarrierClass-(0.0/5.0) EarlyJoin-(0.0/20.0) JoinerClass-(0.0/5.0) LateJoin-(0.0/20.0) , ,
4,Tue Feb 15 08:44:56 EST 2022,5,3,MultiThreadSum,MultiThreadSumResult+ MultiThreadTokenCountResult , ,A2ConfigurationProvided Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer+ MultiThreadSumBulkPartialReduce+ MultiThreadSumMultiplePartialReduce+ MultiThreadSumMultipleRoundSynchronization+ MultiThreadSumThreads+ PartitionerClass PartitionerFactory PartitionerObject TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountJoiner ,0,4,true,MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads , , ,MultiThreadSumBoundedBuffer-(0.0/5.0) MultiThreadSumBulkPartialReduce-(0.0/5.0) MultiThreadSumMultiplePartialReduce-(0.0/5.0) MultiThreadSumMultipleRoundSynchronization-(0.0/5.0) MultiThreadSumResult-(5.0/5.0) MultiThreadSumThreads-(0.0/5.0) , ,
5,Tue Feb 15 08:45:30 EST 2022,5,0,PartitionedReduce,MultiThreadSumResult MultiThreadTokenCountResult , ,A2ConfigurationProvided Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumThreads PartitionerClass PartitionerFactory PartitionerObject StandAloneTokenCountPartition1Reduce+ StandAloneTokenCountPartition2Reduce+ StandAloneTokenCountPartition3Reduce+ TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride SumBarrier SumJoiner TokenCountBarrier TokenCountJoiner ,0,5,true,StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce , , ,StandAloneTokenCountPartition1Reduce-(0.0/25.0) StandAloneTokenCountPartition2Reduce-(0.0/25.0) StandAloneTokenCountPartition3Reduce-(0.0/25.0) , ,
6,Tue Feb 15 08:45:34 EST 2022,15,10,A2GeneralStyleSuite,A2AccessModifiersMatched+ A2InterfaceAsType+ A2MnemonicNames+ A2NamedConstants+ MultiThreadSumResult MultiThreadTokenCountResult ,A2PublicMethodsOverride+ ,A2ConfigurationProvided A2NoCheckstyleWarnings+ Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumThreads PartitionerClass PartitionerFactory PartitionerObject StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures SumBarrier SumJoiner TokenCountBarrier TokenCountJoiner ,0,6,true,A2AccessModifiersMatched A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride , ,A2AccessModifiersMatched A2MnemonicNames A2NoCheckstyleWarnings A2PublicMethodsOverride ,A2AccessModifiersMatched-(5.0/5.0) A2InterfaceAsType-(10.0/10.0) A2MnemonicNames-(15.0/15.0) A2NamedConstants-(1.0/1.0) A2NoCheckstyleWarnings-(0.0/20.0) A2PublicMethodsOverride-(2.2/10.0) , ,
7,Tue Feb 15 09:15:19 EST 2022,15,0,A2ConfigurationProvided,A2AccessModifiersMatched A2InterfaceAsType A2MnemonicNames A2NamedConstants MultiThreadSumResult MultiThreadTokenCountResult ,A2PublicMethodsOverride ,A2ConfigurationProvided A2NoCheckstyleWarnings Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumThreads PartitionerClass PartitionerFactory PartitionerObject StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures SumBarrier SumJoiner TokenCountBarrier TokenCountJoiner ,1,0,false, , , ,A2ConfigurationProvided-(0.0/10.0) , ,
8,Tue Feb 15 09:16:01 EST 2022,15,0,A2ConfigurationProvided,A2AccessModifiersMatched A2InterfaceAsType A2MnemonicNames A2NamedConstants MultiThreadSumResult MultiThreadTokenCountResult ,A2PublicMethodsOverride ,A2ConfigurationProvided A2NoCheckstyleWarnings Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumThreads PartitionerClass PartitionerFactory PartitionerObject StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures SumBarrier SumJoiner TokenCountBarrier TokenCountJoiner ,2,0,false, , , ,A2ConfigurationProvided-(0.0/10.0) , ,
9,Tue Feb 15 09:16:02 EST 2022,23,8,PartitionerClassFactoryAndObject,A2AccessModifiersMatched A2InterfaceAsType A2MnemonicNames A2NamedConstants MultiThreadSumResult MultiThreadTokenCountResult PartitionerClass+ PartitionerFactory+ PartitionerObject+ ,A2PublicMethodsOverride ,A2ConfigurationProvided A2NoCheckstyleWarnings Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumThreads StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures SumBarrier SumJoiner TokenCountBarrier TokenCountJoiner ,2,1,true,PartitionerClass PartitionerFactory PartitionerObject , , ,PartitionerClass-(5.0/5.0) PartitionerFactory-(10.0/10.0) PartitionerObject-(10.0/10.0) , ,
